Sentence,NER
"press spokesman alexander barkhatov told reporters the negotiations , being held at this rebel-held village some 20 km ( 12 miles ) south of the chechen capital grozny , were progressing briskly and being conducted in a good mood .",O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O I-MISC O I-LOC O O O O O O O O O O O O
"he said a document would be completed in an hour 's time for signature by the two sides , who were working on a "" day-by-day schedule to stop the war in chechnya . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-LOC O O
-docstart-,O
yeltsin shown on russian television .,I-PER O O I-MISC O O
moscow 1996-08-22,I-LOC O
"russian television showed a brief clip of boris yeltsin on thursday , with the president laughing and smiling as he spoke to nominee health minister tatyana dmitrieva .",I-MISC O O O O O O I-PER I-PER O O O O O O O O O O O O O O O O I-PER I-PER O
it was the first time the president had been shown on television since he was inaugurated for a second term in office on august 9 .,O O O O O O O O O O O O O O O O O O O O O O O O O O
he returned to the kremlin on thursday after a two-day break in the lakelands of northwestern russia .,O O O O I-LOC O O O O O O O O O O O I-LOC O
-docstart-,O
press digest - bosnia - aug 22 .,O O O I-LOC O O O O
sarajevo 1996-08-22,I-LOC O
these are the leading stories in the sarajevo press on thursday .,O O O O O O O I-LOC O O O O
reuters has not verified these stories and does not vouch for their accuracy .,I-ORG O O O O O O O O O O O O O
oslobodjenje,I-ORG
- the bosnian federation launches a common payment system on friday .,O O I-MISC O O O O O O O O O
"under the new system taxes and customs may be paid in the bosnian dinar , the croatian kuna or the deutsche mark until a new bosnian currency is introduced .",O O O O O O O O O O O O I-MISC O O O I-MISC O O O O O O O O I-MISC O O O O
"- the president of the bosnian association for refugees and displaced persons , mirhunisa komarica says many survivors of the 1995 massacre in the bosnian town of srebrenica are languishing as forced laborers in serbian mines .",O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-PER I-PER O O O O O O O O O I-MISC O O I-LOC O O O O O O I-MISC O O
"according to komarica , 2,400 male residents of srebrenica work in the trepca mine and 1,900 work in a mine in aleksandrovac .",O O I-PER O O O O O I-LOC O O O I-LOC O O O O O O O O I-LOC O
dnevni avaz,I-ORG I-ORG
- slovenian police briefly detain two bosnian opposition leaders in ljubljana and cancel opposition political rallies in ljubljana and maribor .,O I-MISC O O O O I-MISC O O O I-LOC O O O O O O I-LOC O I-LOC O
"-- sarajevo newsroom , +387-71-663-864 .",O I-LOC O O O O
-docstart-,O
grozny quiet overnight after raids .,I-LOC O O O O O
"alkhan-yurt , russia 1996-08-22",I-LOC O I-LOC O
"the city of grozny , pounded by russian planes and artillery for hours on wednesday , calmed down overnight , although sporadic explosions and shooting could still be heard .",O O O I-LOC O O O I-MISC O O O O O O O O O O O O O O O O O O O O O O
"reuters correspondent lawrence sheets , speaking from the nearby village of alkhan-yurt , said he had heard little from grozny since wednesday evening 's arrival of russian security chief alexander lebed , who said he "" came with peace "" .",I-ORG O I-PER I-PER O O O O O O O I-LOC O O O O O O O I-LOC O O O O O O I-MISC O O I-PER I-PER O O O O O O O O O O
"a couple of helicopters flew over the city early on thursday morning , but did not appear to be firing at anything .",O O O O O O O O O O O O O O O O O O O O O O O
"lebed said on wednesday he had clinched a truce with chechen separatists and he promised to halt a threatened bombing assault on grozny , which the rebels have held since august 6 .",I-PER O O O O O O O O O I-MISC O O O O O O O O O O O I-LOC O O O O O O O O O O
-docstart-,O
boat passengers rescued off colombian coast .,O O O O I-MISC O O
"bogota , colombia 1996-08-22",I-LOC O I-LOC O
"colombia 's coast guard on thursday rescued 12 people lost for three days in an open boat off the pacific coast , officials said .",I-LOC O I-ORG I-ORG O O O O O O O O O O O O O O O I-LOC O O O O O
"the boat had been missing since monday afternoon when it left the tiny island of gorgona off colombia 's southwest coast with sightseers for a return trip to narino province , near the border with ecuador .",O O O O O O O O O O O O O O O I-LOC O I-LOC O O O O O O O O O O I-LOC O O O O O O I-LOC O
"the boat ran out of fuel and did not have a radio to call for help , navy spokesman lt. italo pineda said .",O O O O O O O O O O O O O O O O O I-ORG O O I-PER I-PER O O
he said 11 passengers and one boatman survived on coconuts and rainwater during 65 hours lost at sea .,O O O O O O O O O O O O O O O O O O O
the boat was towed to the port city of buenaventura .,O O O O O O O O O I-LOC O
-docstart-,O
argentine july raw steel output up 14.8 pct vs ' 95 .,I-MISC O O O O O O O O O O O
buenos aires 1996-08-22,I-LOC I-LOC O
"argentine raw steel output was 355,900 tonnes in july , 14.8 percent higher than in july 1995 and up 1.9 percent from june , steel industry center said thursday .",I-MISC O O O O O O O O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG O O O
"primary iron output was 297,700 tonnes , 14.5 percent more than last july and 0.1 percent more than in june .",O O O O O O O O O O O O O O O O O O O O O
"hot laminate production was 349,000 tonnes , 3.2 percent up from july 1995 and 0.8 percent up from june .",O O O O O O O O O O O O O O O O O O O O
"production of cold laminates was 120,500 tonnes , 4.2 percent higher than the same month last year and 11 percent higher than in june .",O O O O O O O O O O O O O O O O O O O O O O O O O
"-- jason webb , buenos aires newsroom +541 318-0655",O I-PER I-PER O I-ORG I-ORG I-ORG O O
-docstart-,O
"peru 's guerrillas kill one , take 8 hostage in jungle .",I-LOC O O O O O O O O O O O
"lima , peru 1996-08-21",I-LOC O I-LOC O
"peruvian guerrillas killed one man and took eight people hostage after taking over a village in the country 's northeastern jungle region , anti- terrorist police sources said on wednesday .",I-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"for three hours on tuesday , around 100 members of the maoist rebel group shining path took control of alomella robles , a small village about 345 miles ( 550 km ) northeast of lima , the sources said .",O O O O O O O O O O O I-MISC O O I-ORG I-ORG O O O I-LOC I-LOC O O O O O O O O O O O O O I-LOC O O O O O
"some guerrillas made villagers listen to propaganda speeches in the village centre , others forced passing motorists out of their cars and daubed their vehicles with slogans .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"by wednesday , the whereabouts of the eight hostages was still not known , the sources said .",O O O O O O O O O O O O O O O O O O
"in recent months the shining path , severely weakened since the 1992 capture of its leader abimael guzman , has been stepping up both its military and propaganda activities .",O O O O I-ORG I-ORG O O O O O O O O O O I-PER I-PER O O O O O O O O O O O O
"peru 's guerrilla conflicts have cost at least 30,000 lives and $ 25 billion in damage to infrastructure since 1980 .",I-LOC O O O O O O O O O O O O O O O O O O O O
-docstart-,O
former surinam rebel leader held after shooting .,O I-LOC O O O O O O
"paramaribo , surinam 1996-08-21",I-LOC O I-LOC O
"flamboyant former surinamese rebel leader ronny brunswijk was in custody on wednesday charged with attempted murder , police said .",O O I-MISC O O I-PER I-PER O O O O O O O O O O O O O
"brunswijk turned himself into police after freddy pinas , a surinamese-born visitor from the netherlands , accused brunswijk of trying to kill him on sunday after a bar-room brawl in the small mining town of moengo , about 56 miles ( 90 km ) east of paramaribo , said police spokesman ro gajadhar .",I-PER O O O O O I-PER I-PER O O I-MISC O O O I-LOC O O I-PER O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O O I-LOC O O O O I-PER I-PER O
"pinas , showing cuts and bruises on his face , told reporters the former head of the feared jungle command had tried and failed to shoot him after pinas objected to brunswijk 's advances toward his wife .",I-PER O O O O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O O O I-PER O O I-PER O O O O O O
pinas said brunswijk then ordered his bodyguards to beat him up .,I-PER O I-PER O O O O O O O O O
"brunswijk , 35 , denied the charges and said he had merely defended himself when pinas attacked him with a bottle .",I-PER O O O O O O O O O O O O O O I-PER O O O O O O
it was the second time brunswijk had been charged with attempted murder in less than two years .,O O O O O I-PER O O O O O O O O O O O O
in 1994 he served two months in prison for shooting a thief in the buttocks .,O O O O O O O O O O O O O O O O
"brunswijk led a rebel group of about 1,000 in a 1986 uprising against the regime of military strongman desi bouterse .",I-PER O O O O O O O O O O O O O O O O O I-PER I-PER O
"the conflict , which killed more than 500 and caused thousands to flee to neighbouring french guiana in the late 1980s , eventually paved the way to democratic elections in 1991 .",O O O O O O O O O O O O O O O I-LOC I-LOC O O O O O O O O O O O O O O O
"despite numerous problems with authorities , brunswijk went on to become a successful businessman with mining and logging interests .",O O O O O O I-PER O O O O O O O O O O O O O
he also manages and occasionally plays for one of the leading local soccer teams .,O O O O O O O O O O O O O O O
-docstart-,O
noisy saw leads thai police to heroin hideaway .,O O O I-MISC O O O O O
bangkok 1996-08-22,I-LOC O
"a hong kong carpenter was arrested in the thai seaside town of pattaya after police seized 18 kg ( 39.7 pounds ) of heroin following complaints by residents of a noisy saw , police said on thursday .",O I-LOC I-LOC O O O O O I-MISC O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
"cheung siu man , 40 , was arrested late on wednesday after police searched a house and found heroin in bags and hidden in hollow spaces in wooden planks , police said .",I-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the suspect said he was hired to make a wooden box from the planks in order to hide the heroin .,O O O O O O O O O O O O O O O O O O O O O
police went to the house after receiving complaints of sawing during the night over the course of several days .,O O O O O O O O O O O O O O O O O O O O
"when they arrived to investigate , police saw people escaping from the back door so they decided to search the house .",O O O O O O O O O O O O O O O O O O O O O O
"the seized heroin has an estimated street value of about 300 million baht ( $ 12 million ) , police said .",O O O O O O O O O O O O O O O O O O O O O O
"officials are now hunting for the suspect 's collaborators , police said .",O O O O O O O O O O O O O
"cheung was being detained pending formal charges , police said .",I-PER O O O O O O O O O O
-docstart-,O
australia foreign minister arrives in china .,I-LOC O O O O I-LOC O
beijing 1996-08-22,I-LOC O
australian foreign minister alexander downer arrived in beijing on thursday for a four-day visit that follows rising friction between the two nations in recent weeks .,I-MISC O O I-PER I-PER O O I-LOC O O O O O O O O O O O O O O O O O O
"downer was to meet chinese foreign minister qian qichen and sign an agreement on an australian consulate in hong kong , an official of the australian embassy in beijing said .",I-PER O O O I-MISC O O I-PER I-PER O O O O O O I-MISC O O I-LOC I-LOC O O O O O I-MISC O O I-LOC O O
"china will resume sovereignty over hong kong , a british colony , in mid-1997 .",I-LOC O O O O I-LOC I-LOC O O I-MISC O O O O O
relations between china and australia have been strained in recent weeks because of australia 's plan to sell uranium to china 's rival taiwan .,O O I-LOC O I-LOC O O O O O O O O I-LOC O O O O O O I-LOC O O I-LOC O
"other issues affecting ties include plans by an australian cabinet minister to visit taiwan , a security pact between canberra and washington and a possible visit to australia next month by tibet 's exiled spiritual leader the dalai lama .",O O O O O O O O I-MISC O O O O I-LOC O O O O O I-LOC O I-LOC O O O O O I-LOC O O O I-LOC O O O O O I-PER I-PER O
downer is the first australian minister to visit china since the new conservative government took office in canberra in march .,I-PER O O O I-MISC O O O I-LOC O O O O O O O O I-LOC O O O
-docstart-,O
palestinians accuse pa of banning books .,I-MISC O I-ORG O O O O
"nablus , west bank 1996-08-22",I-LOC O I-LOC I-LOC O
a west bank bookseller charged on thursday that the palestinian information ministry has forced him to sign an undertaking not to distribute books written by critics of israeli-plo self-rule deals .,O I-LOC I-LOC O O O O O O I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O I-MISC O O O
""" they made me sign an undertaking not to sell the books to anyone at the risk of legal action .",O O O O O O O O O O O O O O O O O O O O O
"one official told me ' you have to either destroy the books or return them to amman ' , "" daoud makkawi , owner of the nablus-based al-risala bookshop , told reuters .",O O O O O O O O O O O O O O O O I-LOC O O O I-PER I-PER O O O O I-MISC I-LOC O O O I-ORG O
"he said ministry officials made him sign this a few weeks ago after he brought about a dozen copies from jordan of a book by edward said , a prominent scholar at new york city 's columbia university .",O O O O O O O O O O O O O O O O O O O O I-LOC O O O O I-PER I-PER O O O O O I-LOC I-LOC I-LOC O I-ORG I-ORG O
"said , a u.s. citizen of palestinian origin , has been an outspoken critic of the 1993 israeli-plo self-rule deal and has written at least two books on the accord .",I-PER O O I-LOC O O I-MISC O O O O O O O O O O I-MISC O O O O O O O O O O O O O
on wednesday a bookseller in the west bank town of ramallah said police about a month ago confiscated several copies of two of said 's books on the israel-plo self-rule deals .,O O O O O O I-LOC I-LOC O O I-LOC O O O O O O O O O O O O I-PER O O O O I-MISC O O O
palestinian information ministry director-general mutawakel taha denied that ministry officials forced anyone to sign any undertaking and insisted that the palestinian authority has no plans to censor books .,I-ORG I-ORG I-ORG O I-PER I-PER O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O O
""" there is no strategy to ban books or to suppress freedom of expression in any form whatsoever , "" taha told reuters .",O O O O O O O O O O O O O O O O O O O O I-PER O I-ORG O
but taha said that the absence of relevent legislations may have resulted in some mistakes by some security officials .,O I-PER O O O O O O O O O O O O O O O O O O
""" this may explain some mistakes against some journalists and writers , "" he said .",O O O O O O O O O O O O O O O O
"daoud said books by other authors , including british journalist patrick seale , were also banned .",I-PER O O O O O O O I-MISC O I-PER I-PER O O O O O
he said that security officials often visit his shop to make sure he was not selling the books .,O O O O O O O O O O O O O O O O O O O
""" i think this is a bad beginning .",O O O O O O O O O
"if we have confidence , why should we be afraid of the other opinion ? """,O O O O O O O O O O O O O O O O
daoud said .,I-PER O O
thousands of books were banned from sale in the west bank and gaza strip by the israeli military authorities before the jewish state handed over parts of the two areas to the plo under a self-rule deal in 1994 .,O O O O O O O O O I-LOC I-LOC O I-LOC I-LOC O O I-MISC O O O O I-MISC O O O O O O O O O O I-ORG O O O O O O O
-docstart-,O
egypt blames istanbul control tower for accident .,I-LOC O I-LOC O O O O O
cairo 1996-08-22,I-LOC O
the chairman of national carrier egyptair on thursday blamed the control tower at istanbul airport for the egyptair plane accident .,O O O O O I-ORG O O O O O O O I-LOC O O O I-ORG O O O
"twenty people were injured on wednesday when the egyptair boeing 707 overshot the runway , caught fire , hit a taxi and skipped across a road onto a railway line .",O O O O O O O O I-ORG I-MISC O O O O O O O O O O O O O O O O O O O O O
"chairman mohamed fahim rayyan told a news conference at cairo airport : "" the control tower should have allocated the plane another runway , instead of the one the plane landed on . """,O I-PER I-PER I-PER O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O
""" the one it landed on is 2,250 metres ( 2,460 yards ) long while the other one if more than 3,000 metres ( 3,300 yards ) long and is less steep , "" he added .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
he said a turkish civil aviation authority official had made the same point and he noted that a turkish plane had a similar accident there in 1994 .,O O O I-MISC O O O O O O O O O O O O O O I-MISC O O O O O O O O O
the egyptair pilot blamed turkish airport staff for misleading him .,O I-ORG O O I-MISC O O O O O O
the landing took place after a rainstorm .,O O O O O O O O
""" its not an accident .",O O O O O O
it 's very wet .,O O O O O
the brake action is very poor and the tower said it 's medium .,O O O O O O O O O O O O O O
"that 's wrong , "" the pilot told private ihlas news agency in english .",O O O O O O O O O I-ORG O O O I-MISC O
-docstart-,O
egypt wants nothing to do with sudanese rulers .,I-LOC O O O O O I-MISC O O
cairo 1996-08-22,I-LOC O
"the egyptian government will have nothing more to do with the sudanese government because it continues to shelter and support egyptian militants , president hosni mubarak said in a speech on thursday .",O I-MISC O O O O O O O O O I-MISC O O O O O O O O I-MISC O O O I-PER I-PER O O O O O O O
egypt says the sudanese government helped the moslem militants who tried to kill mubarak in addis ababa last year .,I-LOC O O I-MISC O O O I-MISC O O O O O I-PER O I-LOC I-LOC O O O
it sponsored last week 's u.n. security council resolution threatening a ban on sudanese flights abroad if khartoum does not hand over three men accused in the addis ababa incident .,O O O O O I-ORG I-ORG I-ORG O O O O O I-MISC O O O I-LOC O O O O O O O O O I-LOC I-LOC O O
"the sanctions will come into effect in november if sudan fails to extradite the men , but sudan says it cannot hand them over to ethiopia for trial because they are not in sudan .",O O O O O O O O O I-LOC O O O O O O O I-LOC O O O O O O O I-LOC O O O O O O O I-LOC O
""" we are still eager that nothing should affect the sudanese people but we will not deal with the current regime or the turabi front or whatever , "" mubarak told a group of academics .",O O O O O O O O O O I-MISC O O O O O O O O O O O O I-PER O O O O O I-PER O O O O O O
"hassan al-turabi is the leader of the national islamic front , the political force behind the sudanese government .",I-PER I-PER O O O O O I-ORG I-ORG I-ORG O O O O O O I-MISC O O
""" i do n't want to go into more details than that but there are more details and they are bitter .",O O O O O O O O O O O O O O O O O O O O O O
"there are terrorists they are sheltering and they make sudanese passorts for them and they get paid by them , "" mubarak said .",O O O O O O O O O I-MISC O O O O O O O O O O O I-PER O O
"he did not say if egypt would go so far as to break relations , a step it has been reluctant to take , ostensibly because it would affect ordinary sudanese .",O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O I-MISC O
-docstart-,O
turkish shares shed gains in profit-taking .,I-MISC O O O O O O
istanbul 1996-08-22,I-LOC O
"turkish shares ended lower on thursday , shedding gains of earlier in the week amid profit-taking sales , brokers said .",I-MISC O O O O O O O O O O O O O O O O O O O O
"the imkb-100 lost 0.19 percent or 123.89 points to end at 64,178.78 .",O I-MISC O O O O O O O O O O O
gains so far this week have totalled 2.92 percent .,O O O O O O O O O O
daily volume dropped to 7.2 trillion lira from wednesday 's 7.8 trillion lira .,O O O O O O O O O O O O O O
""" profit-taking sales in the afternoon showed the latest gains of the index were actually a reaction rise .",O O O O O O O O O O O O O O O O O O O
"i expect the market to go as far down as 63,000 tomorrow if sales continue , "" said burcin mavituna from interbank .",O O O O O O O O O O O O O O O O O O I-PER I-PER O I-ORG O
"brokers said profit taking sales had come especially as the index approached the 65,000 resistance level .",O O O O O O O O O O O O O O O O O
"they said the index could also rise towards 65,000 if the cheap share prices attracted buyers .",O O O O O O O O O O O O O O O O O
"the market had its first resistance at 67,000 if it pierced 65,000 , they added .",O O O O O O O O O O O O O O O O
"the session 's most active shares were those of isbank gained 300 lira to 8,600 .",O O O O O O O O O I-ORG O O O O O O
"shares of utility cukurova lost 3,000 lira to 67,000 .",O O O I-ORG O O O O O O
"the 85-share industrial index lost 0.47 percent to 70,848.86 and the 15-share financial index rose by 0.55 percent to 55,929.89 .",O O O O O O O O O O O O O O O O O O O O O
"of the 218 shares traded , gainers outdid losers by 100 to 64 and 54 shares were stable .",O O O O O O O O O O O O O O O O O O O
"-- istanbul newsroom , +90-212-275 0875 sa",O I-ORG I-ORG O O O O
-docstart-,O
miss universe hides behind veil of silence .,I-MISC I-MISC O O O O O O
kieran murray,I-PER I-PER
"las cruces , n.m. 1996-08-22",I-LOC I-LOC O O O
"miss universe , venezuela 's alicia machado , left new mexico on thursday , refusing to answer questions about her weight or claims she was told to either go on a crash diet or give up her title .",I-MISC I-MISC O I-LOC O I-PER I-PER O O I-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"machado , 19 , flew to los angeles after slipping away from the new mexico desert town of las cruces , where she attended the 1996 miss teen usa pageant on wednesday .",I-PER O O O O O I-LOC I-LOC O O O O O I-LOC I-LOC O O O I-LOC I-LOC O O O O O I-MISC I-MISC I-MISC I-MISC O O O O
"while machado was not a contestant here , she came under intense scrutiny following reports she was given an ultimatum by los angeles-based miss universe inc. to drop 27 pounds ( 12 kg ) in two weeks or risk losing her crown .",O I-PER O O O O O O O O O O O O O O O O O O O I-MISC I-MISC I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O
"in venezuela , her mother told reuters that machado had a swollen face when she left home two weeks ago because she had her wisdom teeth extracted .",O I-LOC O O O O I-ORG O I-PER O O O O O O O O O O O O O O O O O O O
"marta fajardo insisted her daughter , who weighed 112 pounds ( 51 kg ) when she won the miss universe title in las vegas in may , had perfectly normal eating habits .",I-PER I-PER O O O O O O O O O O O O O O O O I-MISC I-MISC O O I-LOC I-LOC O O O O O O O O O
""" everybody has their own addiction to something or other but it 's not as if she eats cakes like crazy , "" she said .",O O O O O O O O O O O O O O O O O O O O O O O O O O
organisers flatly denied ever threatening machado but immediately put her under wraps and blocked access to her .,O O O O O I-PER O O O O O O O O O O O O
"dressed in a black strapless evening gown at wednesday 's pageant , machado was clearly heavier than the contestants but still won rave reviews after her brief appearance on stage .",O O O O O O O O O O O O I-PER O O O O O O O O O O O O O O O O O O
""" are you kidding ?",O O O O O
"she 's fantastic , "" said nikki campbell , 28 , who went to the pageant . """,O O O O O O I-PER I-PER O O O O O O O O O O
she looked great .,O O O O
"very sexy . """,O O O O
machado 's publicists said on thursday she was scheduled to stay in los angeles for promotional work with sponsors before returning to venezuela on sept .,I-PER O O O O O O O O O O O I-LOC I-LOC O O O O O O O O I-LOC O O O
5 .,O O
beauty queens are high-profile personalities in venezuela and machado 's alleged weight problem made front page news this week .,O O O O O O I-LOC O I-PER O O O O O O O O O O O
it was an official of the miss venezuela organisation who first said machado had been told to lose weight fast .,O O O O O O I-ORG I-ORG I-ORG O O O I-PER O O O O O O O O
"people close to her said she then eased up on her diet and indulged her passion for pasta and cake , but it was not clear how many pounds she gained and most people who saw her said she was still a long way from being fat .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"martin brooks , president of miss universe inc , said he spoke with machado to assure her that organisers were not putting pressure on her .",I-PER I-PER O O O I-ORG I-ORG I-ORG O O O O O I-PER O O O O O O O O O O O O
""" she 's fine with it .",O O O O O O O
"she wished , as we all did , that it had n't happened but she 's spiritually and mentally terrific .",O O O O O O O O O O O O O O O O O O O O O
"there 's no problem whatsoever , "" he told reuters .",O O O O O O O O O I-ORG O
he said the lifestyle associated with being miss universe could make routine exercise difficult .,O O O O O O O I-MISC I-MISC O O O O O O
""" the problem is they travel so much and are so busy that the ability to have any type of regimented routine workout does n't exist .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
i dont know if alicia is working out .,O O O O I-PER O O O O
"we have n't talked about it because it has n't been an issue , "" he said .",O O O O O O O O O O O O O O O O O O
-docstart-,O
kevorkian attends third suicide in week .,I-PER O O O O O O
"pontiac , mich .",I-LOC O I-LOC O
1996-08-22,O
"dr. jack kevorkian attended his third suicide in less than a week on thursday , bringing the body of a 40-year-old missouri woman suffering from multiple sclerosis to a hospital emergency room , doctors said .",O I-PER I-PER O O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O O O O O O
"dr robert aranosian , emergency room director at pontiac osteopathic hospital , said kevorkian brought in the body of patricia smith , of lees summit , mo .",O I-PER I-PER O O O O O I-LOC I-LOC I-LOC O O I-PER O O O O O I-PER I-PER O O I-LOC I-LOC O I-LOC O
", at midday and told doctors that she had been paralysed by the disease .",O O O O O O O O O O O O O O O
it was his second assisted-suicide in 36 hours and the 37th that he has acknowledged attending since starting his crusade for doctor assisted suicide in 1990 .,O O O O O O O O O O O O O O O O O O O O O O O O O O O
"kevorkian 's lawyer , geoffrey fieger , said those attending smith 's death included her husband , david , a police officer , her father , james poland , and kevorkian .",I-PER O O O I-PER I-PER O O O O I-PER O O O O O O I-PER O O O O O O O O I-PER I-PER O O I-PER O
it was the first known time that a police officer has been president at the suicide of one of kevorkian 's patients .,O O O O O O O O O O O O O O O O O O O I-PER O O O
he offered no details about the cause of smith 's death or the location .,O O O O O O O O I-PER O O O O O O
"she was a nurse who had "" rapidly progressing multple sclerosis . """,O O O O O O O O O O O O O
"on tuesday night , kevorkian attended the death of louise siebens , a 76-year-old texas woman with amyotrophic lateral sclerosis , or lou gehrig 's disease .",O O O O I-PER O O O O I-PER I-PER O O O I-LOC O O O O O O O I-PER I-PER O O O
"on august 15 , kevorkian helped judith curren , a 42-year-old massachusetts nurse , who suffered from chronic fatigue syndrome , a non-terminal illness , to end her life .",O O O O I-PER O I-PER I-PER O O O I-LOC O O O O O O O O O O O O O O O O O O
-docstart-,O
"fairview , texas , $ 1.82 million deal baa1 - moody 's .",I-LOC O I-LOC O O O O O O O I-ORG I-ORG O
new york 1996-08-22,I-LOC I-LOC O
moody 's investors service -,I-ORG I-ORG I-ORG I-ORG O
rating announcement as of 08/21/96 .,O O O O O O
issuer : fairview town,O O I-LOC I-LOC
state : tx,O O I-LOC
rating : baa1,O O O
"sale amount : 1,820,000",O O O O
expected sale date : 08/27/96,O O O O O
"-- u.s. municipal desk , 212-859-1650",O I-ORG I-ORG I-ORG O O
-docstart-,O
defiant u.s. neo-nazi jailed by german court .,O I-LOC I-MISC O O I-MISC O O
andrew gray,I-PER I-PER
"hamburg , germany 1996-08-22",I-LOC O I-LOC O
a hamburg court sentenced u.s. neo-nazi leader gary lauck on thursday to four years in prison for pumping banned extremist propaganda into germany from his base in the united states .,O I-LOC O O I-LOC I-MISC O I-PER I-PER O O O O O O O O O O O O O I-LOC O O O O O I-LOC I-LOC O
"lauck , from lincoln , nebraska , yelled a tirade of abuse at the court after his conviction for inciting racial hatred .",I-PER O O I-LOC O I-LOC O O O O O O O O O O O O O O O O O
""" the struggle will go on , "" the 43-year-old shouted in german before being escorted out by security guards .",O O O O O O O O O O O O I-MISC O O O O O O O O
"lauck 's lawyer vowed he would appeal against the court 's decision , arguing that his client should have been set free because he had not committed any offence under german law .",I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-MISC O O
the german government hailed the conviction as a major victory in the fight against neo-nazism .,O I-MISC O O O O O O O O O O O O I-MISC O
lauck 's worldwide network has been the main source of anti-semitic propaganda material flowing into germany since the 1970s .,I-PER O O O O O O O O O I-MISC O O O O I-LOC O O O O
""" lauck possessed a well-oiled propaganda machine , honed during more than 20 years , "" presiding judge guenter bertram told the court .",O I-PER O O O O O O O O O O O O O O O O I-PER I-PER O O O O
""" he set up a propaganda cannon and fired it at germany . """,O O O O O O O O O O O I-LOC O O
"said bertram , who also read out extracts from lauck 's material praising hitler as "" the greatest of all leaders "" and describing the nazi slaughter of millions of jews as a myth .",O I-PER O O O O O O O I-PER O O O I-PER O O O O O O O O O O O I-MISC O O O O I-MISC O O O O
"eager to put lauck behind bars quickly and avoid a long and complex trial , prosecutor bernd mauruschat limited his charges to offences since 1994 .",O O O I-PER O O O O O O O O O O O O I-PER I-PER O O O O O O O O
he had demanded a five-year jail term but said he was satisfied with the court 's sentence .,O O O O O O O O O O O O O O O O O O
"publishing and distributing neo-nazi material is illegal in germany but lauck 's defence team had argued that u.s freedom of speech laws meant he was free to produce his swastika-covered books , magazines , videos and flags in his homeland .",O O O I-MISC O O O O I-LOC O I-PER O O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O
"interior minister manfred kanther said in a statement he "" welcomed the prosecution and conviction of one of the ringleaders of international neo-nazism and biggest distributers of vicious racist publications "" .",O O I-PER I-PER O O O O O O O O O O O O O O O O O O I-MISC O O O O O O O O O
""" it is high time he was behind bars , "" the opposition social democrats said in a statement .",O O O O O O O O O O O O O I-MISC I-MISC O O O O O
"lauck , dressed in a sober blue suit and sporting his trademark hitleresque black moustache , showed no sign of emotion as bertram spent more than an hour reading out the verdict and explaining the court 's decision .",I-PER O O O O O O O O O O O I-MISC O O O O O O O O O I-PER O O O O O O O O O O O O O O O O
"but as lauck was about to be led away , he turned to reporters and blurted out a virtually incomprehensible quick-fire diatribe against the court .",O O I-PER O O O O O O O O O O O O O O O O O O O O O O O
""" neither the national socialists ( nazis ) nor the communists dared to kidnap an american citizen , "" he shouted , in an oblique reference to his extradition to germany from denmark . """,O O O I-MISC I-MISC O I-MISC O O O O O O O O I-MISC O O O O O O O O O O O O O O I-LOC O I-LOC O O
"that 's the truth . """,O O O O O O
"his attorney , hans-otto sieg , told reporters outside the courtroom that the judges had not explained how a german court could judge someone for actions carried out in the united states .",O O O I-PER I-PER O O O O O O O O O O O O O O I-MISC O O O O O O O O O O I-LOC I-LOC O
"bertram said lauck was obsessed by nazism and devoted his life to leading his national socialist german workers ' party foreign organisation ( nsdap-ao ) , which derives its name from the full german title of hitler 's nazi party .",I-PER O I-PER O O O I-MISC O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O O O O O O I-MISC O O I-PER O I-MISC O O
